title,journal,source_x,publish_time,year,abstract_word_count
"Clinical features of culture-proven Mycoplasma pneumoniae infections at King Abdulaziz University Hospital, Jeddah, Saudi Arabia",BMC Infect Dis,PMC,2001-07-04,2001.0,262
Nitric oxide: a pro-inflammatory mediator in lung disease?,Respir Res,PMC,2000-08-15,2000.0,142
Surfactant protein-D and pulmonary host defense,Respir Res,PMC,2000-08-25,2000.0,219
Role of endothelin-1 in lung disease,Respir Res,PMC,2001-02-22,2001.0,68
Gene expression in epithelial cells in response to pneumovirus infection,Respir Res,PMC,2001-05-11,2001.0,110
Sequence requirements for RNA strand transfer during nidovirus discontinuous subgenomic RNA synthesis,The EMBO Journal,PMC,2001-12-17,2001.0,174
Debate: Transfusing to normal haemoglobin levels will not improve outcome,Crit Care,PMC,2001-03-08,2001.0,113
"The 21st International Symposium on Intensive Care and Emergency Medicine, Brussels, Belgium, 20-23 March 2001",Crit Care,PMC,2001-05-02,2001.0,83
Heme oxygenase-1 and carbon monoxide in pulmonary medicine,Respir Res,PMC,2003-08-07,2003.0,188
Technical Description of RODS: A Real-time Public Health Surveillance System,Journal of the American Medical Informatics Association,PMC,2003-09-01,2003.0,189
Conservation of polyamine regulation by translational frameshifting from yeast to mammals,EMBO J,PMC,2000-04-17,2000.0,117
Heterogeneous nuclear ribonucleoprotein A1 regulates RNA synthesis of a cytoplasmic virus,The EMBO Journal,PMC,2000-09-01,2000.0,174
A Method to Identify p62's UBA Domain Interacting Proteins,Biol Proced Online,PMC,2003-12-12,2003.0,110
Vaccinia virus infection disrupts microtubule organization and centrosome function,The EMBO Journal,PMC,2000-08-01,2000.0,150
The site of origin of the 1918 influenza pandemic and its public health implications,J Transl Med,PMC,2004-01-20,2004.0,0
"Multi-faceted, multi-versatile microarray: simultaneous detection of many viruses and their expression profiles",Retrovirology,PMC,2004-05-26,2004.0,219
Herpes simplex virus type 1 and normal protein permeability in the lungs of critically ill patients: a case for low pathogenicity?,Crit Care,PMC,2004-03-31,2004.0,139
Logistics of community smallpox control through contact tracing and ring vaccination: a stochastic network model,BMC Public Health,PMC,2004-08-06,2004.0,251
Protection of pulmonary epithelial cells from oxidative stress by hMYH adenine glycosylase,Respir Res,PMC,2004-09-27,2004.0,238
Bioinformatic mapping of AlkB homology domains in viruses,BMC Genomics,PMC,2005-01-03,2005.0,255
Managing emerging infectious diseases: Is a federal system an impediment to effective laws?,Aust New Zealand Health Policy,PMC,2004-11-19,2004.0,98
Protein secretion in Lactococcus lactis : an efficient way to increase the overall heterologous protein production,Microb Cell Fact,PMC,2005-01-04,2005.0,213
Detection and characterization of horizontal transfers in prokaryotes using genomic signature,Nucleic Acids Res,PMC,2005-01-13,2005.0,240
"Comparisons of substitution, insertion and deletion probes for resequencing and mutational analysis using oligonucleotide microarrays",Nucleic Acids Res,PMC,2005-02-18,2005.0,249
A Gene Encoding Sialic-Acid-Specific 9-O-Acetylesterase Found in Human Adult Testis,J Biomed Biotechnol,PMC,2004-07-29,2004.0,149
The role of mast cells in the pathogenesis of pain in chronic pancreatitis,BMC Gastroenterol,PMC,2005-03-03,2005.0,240
Recombination Every Day: Abundant Recombination in a Virus during a Single Multi-Cellular Host Infection,PLoS Biol,PMC,2005-03-01,2005.0,219
Torsional restraint: a new twist on frameshifting pseudoknots,Nucleic Acids Res,PMC,2005-03-30,2005.0,164
Correcting errors in synthetic DNA through consensus shuffling,Nucleic Acids Res,PMC,2005-03-30,2005.0,175
Towards standardization of RNA quality assessment using user-independent classifiers of microcapillary electrophoresis traces,Nucleic Acids Res,PMC,2005-03-30,2005.0,197
Factors affecting translation at the programmed −1 ribosomal frameshifting site of Cocksfoot mottle virus RNA in vivo,Nucleic Acids Res,PMC,2005-04-20,2005.0,179
Australian public health policy in 2003 – 2004,Aust New Zealand Health Policy,PMC,2005-04-06,2005.0,178
GIDEON: a comprehensive Web-based resource for geographic medicine,Int J Health Geogr,PMC,2005-04-22,2005.0,152
Globalization and Health,Global Health,PMC,2005-04-22,2005.0,285
The 'polysemous' codon--a codon with multiple amino acid assignment caused by dual specificity of tRNA identity.,EMBO J,PMC,1997-03-03,1997.0,194
A universal BMV-based RNA recombination system—how to search for general rules in RNA recombination,Nucleic Acids Res,PMC,2005-07-07,2005.0,194
"Neutrophil elastase, an acid-independent serine protease, facilitates reovirus uncoating and infection in U937 promonocyte cells",Virol J,PMC,2005-05-31,2005.0,346
